list-none-none,1,10,1,30,65584,2186
list-none-none,1,100,1,300,108815,362
list-none-none,1,1000,1,3000,3858352,1286
list-none-none,1,10000,1,30000,643280789,21442
list-none-none,1,20000,1,60000,3484284678,58071
list-none-none,2,1,1,6,123322,20553
list-none-none,2,10,1,60,127643,2127
list-none-none,2,100,1,600,561718,936
list-none-none,2,1000,1,6000,38218133,6369
list-none-none,4,1,1,12,166273,13856
list-none-none,4,10,1,120,157551,1312
list-none-none,4,100,1,1200,1324331,1103
list-none-none,4,1000,1,12000,67744977,5645
list-none-none,8,1,1,24,263730,10988
list-none-none,8,10,1,240,273661,1140
list-none-none,8,100,1,2400,2616948,1090
list-none-none,8,1000,1,24000,75494755,3145
list-none-none,12,1,1,36,357032,9917
list-none-none,12,10,1,360,301705,838
list-none-none,12,100,1,3600,4074770,1131
list-none-none,12,1000,1,36000,112993818,3138
list-i-none,2,1,1,6,147207,24534
list-i-none,2,2,1,12,164129,13677
list-i-none,2,4,1,24,122168,5090
list-i-none,2,8,1,48,147110,3064
list-i-none,2,16,1,96,150698,1569
list-i-none,2,32,1,192,251360,1309
list-i-none,4,1,1,12,150510,12542
list-i-none,4,2,1,24,186758,7781
list-i-none,4,4,1,48,169666,3534
list-i-none,4,8,1,96,104323,1086
list-i-none,4,16,1,192,147024,765
list-i-none,8,1,1,24,216853,9035
list-i-none,8,2,1,48,231027,4813
list-i-none,8,4,1,96,263404,2743
list-i-none,8,8,1,192,251001,1307
list-i-none,8,16,1,384,248569,647
list-i-none,12,1,1,36,326573,9071
list-i-none,12,2,1,72,1527475,21214
list-i-none,12,4,1,144,336773,2338
list-i-none,12,8,1,288,1045204,3629
list-i-none,12,16,1,576,362303,628
list-d-none,2,1,1,6,118216,19702
list-d-none,2,2,1,12,120895,10074
list-d-none,2,4,1,24,115469,4811
list-d-none,2,8,1,48,144786,3016
list-d-none,2,16,1,96,120049,1250
list-d-none,2,32,1,192,178431,929
list-d-none,4,1,1,12,156424,13035
list-d-none,4,2,1,24,188053,7835
list-d-none,4,4,1,48,154411,3216
list-d-none,4,8,1,96,114727,1195
list-d-none,4,16,1,192,169629,883
list-d-none,8,1,1,24,243449,10143
list-d-none,8,2,1,48,238935,4977
list-d-none,8,4,1,96,220392,2295
list-d-none,8,8,1,192,249890,1301
list-d-none,8,16,1,384,224463,584
list-d-none,12,1,1,36,315499,8763
list-d-none,12,2,1,72,423195,5877
list-d-none,12,4,1,144,336735,2338
list-d-none,12,8,1,288,403963,1402
list-d-none,12,16,1,576,341569,593
list-il-none,2,1,1,6,70104,11684
list-il-none,2,2,1,12,80451,6704
list-il-none,2,4,1,24,155816,6492
list-il-none,2,8,1,48,127216,2650
list-il-none,2,16,1,96,172956,1801
list-il-none,2,32,1,192,298110,1552
list-il-none,4,1,1,12,162054,13504
list-il-none,4,2,1,24,153790,6407
list-il-none,4,4,1,48,156119,3252
list-il-none,4,8,1,96,94501,984
list-il-none,4,16,1,192,179261,933
list-il-none,8,1,1,24,192195,8008
list-il-none,8,2,1,48,196868,4101
list-il-none,8,4,1,96,242385,2524
list-il-none,8,8,1,192,279112,1453
list-il-none,8,16,1,384,333809,869
list-il-none,12,1,1,36,354458,9846
list-il-none,12,2,1,72,343351,4768
list-il-none,12,4,1,144,338749,2352
list-il-none,12,8,1,288,337827,1173
list-il-none,12,16,1,576,498401,865
list-dl-none,2,1,1,6,119059,19843
list-dl-none,2,2,1,12,119604,9967
list-dl-none,2,4,1,24,138924,5788
list-dl-none,2,8,1,48,180178,3753
list-dl-none,2,16,1,96,165469,1723
list-dl-none,2,32,1,192,308695,1607
list-dl-none,4,1,1,12,140113,11676
list-dl-none,4,2,1,24,143098,5962
list-dl-none,4,4,1,48,184519,3844
list-dl-none,4,8,1,96,137819,1435
list-dl-none,4,16,1,192,222656,1159
list-dl-none,8,1,1,24,258208,10758
list-dl-none,8,2,1,48,246157,5128
list-dl-none,8,4,1,96,248329,2586
list-dl-none,8,8,1,192,269699,1404
list-dl-none,8,16,1,384,421727,1098
list-dl-none,12,1,1,36,1044741,29020
list-dl-none,12,2,1,72,307220,4266
list-dl-none,12,4,1,144,350781,2435
list-dl-none,12,8,1,288,353504,1227
list-dl-none,12,16,1,576,532062,923
list-i-m,12,32,1,1152,1906567,1655
list-d-m,12,32,1,1152,1922205,1668
list-il-m,12,32,1,1152,8788482,7628
list-dl-m,12,32,1,1152,7156485,6212
list-i-s,12,32,1,1152,578403,502
list-d-s,12,32,1,1152,554367,481
list-il-s,12,32,1,1152,1506481,1307
list-dl-s,12,32,1,1152,1472442,1278
list-none-none,1,1000,1,3000,3869914,1289
list-none-m,1,1000,1,3000,3981782,1327
list-none-m,2,1000,1,6000,21661159,3610
list-none-m,4,1000,1,12000,86321015,7193
list-none-m,8,1000,1,24000,406124194,16921
list-none-m,12,1000,1,36000,964080137,26780
list-none-m,16,1000,1,48000,1924932419,40102
list-none-m,24,1000,1,72000,4141216355,57516
list-none-s,1,1000,1,3000,3892801,1297
list-none-s,2,1000,1,6000,17412691,2902
list-none-s,4,1000,1,12000,60405009,5033
list-none-s,8,1000,1,24000,77465148,3227
list-none-s,12,1000,1,36000,116853243,3245
list-none-s,16,1000,1,48000,158742724,3307
list-none-s,24,1000,1,72000,287346614,3990
